id,production_date,panel_serial_nbr,energy_produced
22782,2023-06-19,482303052299,2.2
22783,2023-06-19,482303052413,1.87
22784,2023-06-19,482303052483,2.11
22785,2023-06-19,482303052487,2.19
22786,2023-06-19,482303052489,1.88
22787,2023-06-19,482303052497,2.15
22788,2023-06-19,482303052574,2.12
22789,2023-06-19,482303052582,2.15
22790,2023-06-19,482303052599,2.2
23461,2023-06-18,482303052269,0.93
23462,2023-06-18,482303052299,1.111
23463,2023-06-18,482303052413,1.169
23464,2023-06-18,482303052483,0.905
23465,2023-06-18,482303052487,1.103
23466,2023-06-18,482303052489,1.187
23467,2023-06-18,482303052497,1.205
23468,2023-06-18,482303052574,0.938
23469,2023-06-18,482303052582,1.209
23470,2023-06-18,482303052599,1.111
24151,2023-06-17,482303052269,2.08
24152,2023-06-17,482303052299,2.34
24153,2023-06-17,482303052413,2.19
24154,2023-06-17,482303052483,2.1
24155,2023-06-17,482303052487,2.34
24156,2023-06-17,482303052489,2.25
24157,2023-06-17,482303052497,2.41
24158,2023-06-17,482303052574,2.12
24159,2023-06-17,482303052582,2.44
24160,2023-06-17,482303052599,2.35
24851,2023-06-16,482303052269,2.38
24852,2023-06-16,482303052299,2.6
24853,2023-06-16,482303052413,2.34
24854,2023-06-16,482303052483,2.39
24855,2023-06-16,482303052487,2.59
24856,2023-06-16,482303052489,2.38
24857,2023-06-16,482303052497,2.65
24858,2023-06-16,482303052574,2.39
24859,2023-06-16,482303052582,2.67
24860,2023-06-16,482303052599,2.6
25561,2023-06-15,482303052269,2.27
25562,2023-06-15,482303052299,2.49
25563,2023-06-15,482303052413,2.26
25564,2023-06-15,482303052483,2.28
25565,2023-06-15,482303052487,2.48
25566,2023-06-15,482303052489,2.29
25567,2023-06-15,482303052497,2.54
25568,2023-06-15,482303052574,2.28
25569,2023-06-15,482303052582,2.54
25570,2023-06-15,482303052599,2.49
26281,2023-06-14,482303052269,2.41
26282,2023-06-14,482303052299,2.63
26283,2023-06-14,482303052413,2.4
26284,2023-06-14,482303052483,2.42
26285,2023-06-14,482303052487,2.62
26286,2023-06-14,482303052489,2.43
26287,2023-06-14,482303052497,2.71
26288,2023-06-14,482303052574,2.41
26289,2023-06-14,482303052582,2.7
26290,2023-06-14,482303052599,2.62
27011,2023-06-13,482303052269,2.39
27012,2023-06-13,482303052299,2.62
27013,2023-06-13,482303052413,2.38
27014,2023-06-13,482303052483,2.41
27015,2023-06-13,482303052487,2.61
27016,2023-06-13,482303052489,2.41
